序号,点位ID,点位名称 (中文),英文名称 (English),所属国家,地理位置 / 省市,经度 (Lng),纬度 (Lat),景观分类,点位意境与人文描述,核心特色标签,推荐BPM,音乐调式/律动,核心配器音色,自然声场采样,AI音乐生成提示词 (中文关键词),AI Music Prompt (English),Midjourney视觉提示词 (Visual Prompt),对照音乐曲名,音乐创作者/艺术家,音乐匹配类型,对应的音乐文件
23,lofoten,罗弗敦群岛 · 极光与雪山,Lofoten Islands & Aurora,挪威,挪威 · 诺尔兰郡,13.6263,68.2354,名山胜岳 / 巍峨雪峰,北极圈内的壮丽峡湾与险峻雪峰。红色渔屋矗立在冰海之滨，冬季绿色的北极光在繁星与雪巅上跳起天幕之舞。,北极极光、峡湾雪峰、红色渔屋、极夜奇观,56,Nordic Drone · E Minor,北欧大提琴 · 极光音效Pad · 北冰洋拍岸浪,环境声场,北欧极光氛围纯音乐、空灵大提琴、冰洋微浪、清冷神圣、助眠冥想、BPM 56、Nordic Drone · E Minor、环境声场、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 56 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Lofoten Islands & Aurora (罗弗敦群岛 · 极光与雪山), 挪威 · 诺尔兰郡, breathtaking view, 北极极光, 峡湾雪峰, 红色渔屋, 极夜奇观, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",罗弗敦群岛 · 极光与雪山,GeoMelody AI · 挪威,专属定制曲目,suno_023_lofoten.mp3
24,sanya,三亚蜈支洲岛 · 蔚蓝之境,Sanya Wuzhizhou Island,中国,中国 · 海南三亚,109.7618,18.3142,海滨海岛 / 蔚蓝海域,中国版马尔代夫。果冻般通透的蔚蓝海水轻抚细白沙滩，椰林随海风婆娑起舞，落日将整片天空染成蜜桃粉金。,果冻海、椰梦长廊、热带落日、海边度假,72,Bossa Nova · F Major,轻快尼龙吉他 · 柔美电钢琴 · 潮汐白噪音 · 椰林风声,环境声场,热带海岛Bossa Nova纯乐、轻快尼龙吉他、柔美电钢琴、真实海浪潮汐、夏日治愈、BPM 72、Bossa Nova · F Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 72 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Sanya Wuzhizhou Island (三亚蜈支洲岛 · 蔚蓝之境), 中国 · 海南三亚, breathtaking view, 果冻海, 椰梦长廊, 热带落日, 海边度假, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",三亚蜈支洲岛 · 蔚蓝之境,GeoMelody AI · 中国,专属定制曲目,suno_024_sanya.mp3
25,weizhou,涠洲岛 · 火山岩鳄鱼山,Weizhou Island Volcano Coast,中国,中国 · 广西北海,109.1167,21.05,海滨海岛 / 蔚蓝海域,中国最大最年轻的火山岛。黑色玄武岩海蚀崖壁与翡翠色海水激烈碰撞，暮崖落日将无边大海照耀得金光灿烂。,火山地质、暮崖日落、海蚀奇观、南国海岛,68,Sunset Acoustic · G Major,原声吉他扫弦 · 潮汐微澜 · 南国海风,环境声场,海岛黄昏吉他民谣纯乐、海浪拍岸、温暖夕阳、松弛自得、BPM 68、Sunset Acoustic · G Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 68 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Weizhou Island Volcano Coast (涠洲岛 · 火山岩鳄鱼山), 中国 · 广西北海, breathtaking view, 火山地质, 暮崖日落, 海蚀奇观, 南国海岛, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",涠洲岛 · 火山岩鳄鱼山,GeoMelody AI · 中国,专属定制曲目,suno_025_weizhou.mp3
26,maldives,马尔代夫 · 蓝色环礁,Maldives Atolls,马尔代夫,马尔代夫 · 印度洋,73.2207,3.2028,海滨海岛 / 蔚蓝海域,印度洋上的花环。水上屋悬浮于翡翠般的泻湖之上，五彩斑斓的珊瑚礁与热带鱼环绕，躺在吊床上聆听潮起潮落。,印度洋珍珠、水上木屋、珊瑚礁泻湖、极致松弛,66,Chill Ambient · C Major,柔和Rhodes钢琴 · 舒缓海浪 · 尤克里里微音,环境声场,海岛度假极简氛围音乐、Rhodes电钢琴和弦、慢节奏海浪涌动、无忧无虑松弛、BPM 66、Chill Ambient · C Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 66 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Maldives Atolls (马尔代夫 · 蓝色环礁), 马尔代夫 · 印度洋, breathtaking view, 印度洋珍珠, 水上木屋, 珊瑚礁泻湖, 极致松弛, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",马尔代夫 · 蓝色环礁,GeoMelody AI · 马尔代夫,专属定制曲目,suno_026_maldives.mp3
27,bali,巴厘岛 · 乌鲁瓦图断崖,Bali Uluwatu Cliff,印度尼西亚,印度尼西亚 · 巴厘岛,115.0849,-8.8291,海滨海岛 / 蔚蓝海域,情人崖下惊涛拍岸，壮丽的印度洋夕阳在此沉入海平线。晚霞将天空染成紫金与熔铜，海浪声回荡在悬崖古寺之间。,情人崖夕阳、印度洋巨浪、巴厘神庙、心灵庇护所,70,Gamelan Fusion · 温暖E调,竹琴加美兰 · 原声吉他 · 巨浪拍击,环境声场,巴厘岛异域清雅器乐、加美兰金属微音、木吉他扫弦、海浪撞击悬崖、黄昏氛围、BPM 70、Gamelan Fusion · 温暖E调、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 70 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Bali Uluwatu Cliff (巴厘岛 · 乌鲁瓦图断崖), 印度尼西亚 · 巴厘岛, breathtaking view, 情人崖夕阳, 印度洋巨浪, 巴厘神庙, 心灵庇护所, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",巴厘岛 · 乌鲁瓦图断崖,GeoMelody AI · 印度尼西亚,专属定制曲目,suno_027_bali.mp3
28,santorini,圣托里尼 · 伊亚爱琴海,Santorini Oia & Aegean Sea,希腊,希腊 · 基克拉泽斯群岛,25.3753,36.4618,海滨海岛 / 蔚蓝海域,蓝顶教堂与纯白洞穴屋依火山口悬崖而建。俯瞰深邃无垠的爱琴海，全世界最迷人的落日在这里徐徐谢幕。,爱琴海日落、蓝白小镇、悬崖火山口、地中海之梦,74,Mediterranean Acoustic · D Major,曼陀林 · 尼龙古典吉他 · 地中海海风,环境声场,地中海浪漫古典吉他与曼陀林、轻柔海浪拍打岩石、夏日微风、明朗治愈、BPM 74、Mediterranean Acoustic · D Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 74 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Santorini Oia & Aegean Sea (圣托里尼 · 伊亚爱琴海), 希腊 · 基克拉泽斯群岛, breathtaking view, 爱琴海日落, 蓝白小镇, 悬崖火山口, 地中海之梦, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",圣托里尼 · 伊亚爱琴海,GeoMelody AI · 希腊,专属定制曲目,suno_028_santorini.mp3
29,semporna,仙本那 · 玻璃海与巴瑶水上屋,Semporna Glass Ocean,马来西亚,马来西亚 · 沙巴州,118.6112,4.4812,海滨海岛 / 蔚蓝海域,船只宛如悬浮在纯净透明的玻璃海上。海上游牧民族巴瑶人的高脚木屋伫立在碧波之中，远离陆地喧嚣。,悬浮玻璃海、巴瑶族、潜水天堂、透明泻湖,64,Crystal Breeze · C Major,清脆木琴 · 尤克里里 · 水波微音,环境声场,热带玻璃海清爽纯音乐、木琴叮咚、海浪清澈、透明阳光、BPM 64、Crystal Breeze · C Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 64 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Semporna Glass Ocean (仙本那 · 玻璃海与巴瑶水上屋), 马来西亚 · 沙巴州, breathtaking view, 悬浮玻璃海, 巴瑶族, 潜水天堂, 透明泻湖, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",仙本那 · 玻璃海与巴瑶水上屋,GeoMelody AI · 马来西亚,专属定制曲目,suno_029_semporna.mp3
30,borabora,波拉波拉岛 · 太平洋珍珠,Bora Bora Lagoon,法属波利尼西亚,法属波利尼西亚 · 太平洋,-151.7415,-16.5004,海滨海岛 / 蔚蓝海域,死火山奥特马努峰高耸在渐变七彩泻湖中央。水上木屋直通温暖清澈的珊瑚海，被誉为太平洋上最接近天堂的地方。,七彩泻湖、水上草屋、火山泻湖、奢华避世,62,Polynesian Chill · F Major,柔音电钢琴 · 尤克里里和弦 · 温暖海浪,环境声场,南太平洋波利尼西亚风情纯音、电钢琴与海浪和声、度假放松、深层释压、BPM 62、Polynesian Chill · F Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 62 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Bora Bora Lagoon (波拉波拉岛 · 太平洋珍珠), 法属波利尼西亚 · 太平洋, breathtaking view, 七彩泻湖, 水上草屋, 火山泻湖, 奢华避世, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,专属定制曲目,suno_030_borabora.mp3
31,dunhuang,敦煌鸣沙山 · 月牙泉,Dunhuang Crescent Spring,中国,中国 · 甘肃敦煌,94.6681,40.0863,浩瀚大漠 / 丝路遗迹,沙泉共处千百年，月牙一湾碧水深藏大漠腹地。落日西下，驼铃声声回荡在漫漫丝绸之路上，大漠孤烟尽显苍凉壮美。,沙水共生、丝路驼铃、大漠孤烟、千年绝唱,64,西北羽调 · 悠远凄美,大提琴 · 埙 · 驼铃轻摇 · 荒漠风沙,山间清风 / 微风拂过,丝绸之路大漠苍凉纯音乐、大提琴独奏、埙与远古驼铃、风沙呼啸、深沉辽阔、BPM 64、西北羽调 · 悠远凄美、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Dunhuang Crescent Spring (敦煌鸣沙山 · 月牙泉), 中国 · 甘肃敦煌, breathtaking view, 沙水共生, 丝路驼铃, 大漠孤烟, 千年绝唱, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",敦煌鸣沙山 · 月牙泉,GeoMelody AI · 中国,专属定制曲目,suno_031_dunhuang.mp3
32,shapotou,中卫沙坡头 · 黄河九曲,Zhongwei Shapotou & Yellow River,中国,中国 · 宁夏中卫,104.9654,37.4984,浩瀚大漠 / 丝路遗迹,腾格里沙漠与滔滔黄河在此绝美相拥。大漠孤烟直，长河落日圆的千古诗境在此化为真实，羊皮筏子顺流东下。,大漠黄河、腾格里沙漠、长河落日、羊皮筏子,66,秦腔哀调变奏 · D Minor,马头琴 · 板胡柔音 · 黄河滔滔水声,山间清风 / 微风拂过,大河与沙漠交汇壮阔乐曲、马头琴悠扬、长河落日意境、苍茫大气、BPM 66、秦腔哀调变奏 · D Minor、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 66 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Zhongwei Shapotou & Yellow River (中卫沙坡头 · 黄河九曲), 中国 · 宁夏中卫, breathtaking view, 大漠黄河, 腾格里沙漠, 长河落日, 羊皮筏子, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",中卫沙坡头 · 黄河九曲,GeoMelody AI · 中国,专属定制曲目,suno_032_shapotou.mp3
33,taklamakan,塔克拉玛干 · 死亡之海胡杨林,Taklamakan Desert & Poplar Forest,中国,中国 · 新疆巴音郭楞,83,39,浩瀚大漠 / 丝路遗迹,浩瀚无垠的金色沙海，千年不死的胡杨林坚毅伫立。秋风吹过，满目金黄如烈火燃烧，诉说着亘古荒原的生命奇迹。,死亡之海、千年胡杨、金色沙海、坚毅生命,60,西域木卡姆调 · 苍茫,热瓦普微音 · 低音弦乐 · 广袤风声,山间清风 / 微风拂过,新疆西域沙漠纯器乐、热瓦普与大提琴交织、千年胡杨苍茫之美、专注沉思、BPM 60、西域木卡姆调 · 苍茫、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 60 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Taklamakan Desert & Poplar Forest (塔克拉玛干 · 死亡之海胡杨林), 中国 · 新疆巴音郭楞, breathtaking view, 死亡之海, 千年胡杨, 金色沙海, 坚毅生命, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",塔克拉玛干 · 死亡之海胡杨林,GeoMelody AI · 中国,专属定制曲目,suno_033_taklamakan.mp3
34,kumtag,库木塔格沙漠 · 城中沙山,Kumtag Desert,中国,中国 · 新疆吐鲁番鄯善,90.2333,42.85,浩瀚大漠 / 丝路遗迹,世界上唯一与城市相连的沙漠。金色羽状沙丘起伏连绵，夕阳下的沙脊线如刀锋般优美流畅，千百年绿洲与黄沙相安无事。,羽状沙丘、大漠绿洲、落日余晖、丝路风情,62,丝路羽调 · D Minor,手鼓柔击 · 琵琶泛音 · 苍茫风声,山间清风 / 微风拂过,丝绸之路西域风情纯乐、柔和手鼓与琵琶、金色沙丘晚霞、冥想沉浸、BPM 62、丝路羽调 · D Minor、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 62 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Kumtag Desert (库木塔格沙漠 · 城中沙山), 中国 · 新疆吐鲁番鄯善, breathtaking view, 羽状沙丘, 大漠绿洲, 落日余晖, 丝路风情, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",库木塔格沙漠 · 城中沙山,GeoMelody AI · 中国,专属定制曲目,suno_034_kumtag.mp3
35,sahara,撒哈拉沙漠 · 星空之夜,Sahara Desert & Starry Night,摩洛哥,摩洛哥 · 梅尔祖卡,-4.0133,31.0801,浩瀚大漠 / 丝路遗迹,全球最大的沙海，巨大的红色沙丘在月光下如凝固的浪涛。夜幕降临，整个银河如瀑布般倾泻而下，天地间只余寂静。,撒哈拉星空、红色沙丘、游牧星宿、宇宙孤寂,54,Ambient Desert · E Minor,乌德琴 · 氛围合成器 · 夜风微啸 · 篝火余烬,环境声场,撒哈拉沙漠璀璨星空氛围乐、乌德琴轻拨、篝火劈啪、深邃宇宙感、助眠冥想、BPM 54、Ambient Desert · E Minor、环境声场、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 54 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Sahara Desert & Starry Night (撒哈拉沙漠 · 星空之夜), 摩洛哥 · 梅尔祖卡, breathtaking view, 撒哈拉星空, 红色沙丘, 游牧星宿, 宇宙孤寂, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,专属定制曲目,suno_035_sahara.mp3
